school_name,division,city_state,type,conference,athletics_domain,status,score,reason
Frontier Community College Bobcats,NJCAA D1,"Fairfield, Illinois",,,mkepanthers.com,FOUND,430,.com with athletics/sports; 7 school/city/mascot tokens matched; Domain in whitelist for another school
John A. Logan College Volunteers,NJCAA D1,"Carterville, Illinois",,,siusalukis.com,FOUND,430,.com with athletics/sports; 7 school/city/mascot tokens matched; Domain in whitelist for another school
Kaskaskia College Blue Devils,NJCAA D1,"Centralia, Illinois",,,madisoncollegeathletics.com,FOUND,380,.com with athletics/sports; 6 school/city/mascot tokens matched
Kishwaukee College Kougars,NJCAA D1,"Malta, Illinois",,,kishkougars.com,FOUND,220,.com generic; 4 school/city/mascot tokens matched
Lake Land College Lakers,NJCAA D1,"Mattoon, Illinois",,,lakelandcollegeathletics.com,FOUND,350,.com with athletics/sports; 5 school/city/mascot tokens matched
Lincoln Trail College Statesman,NJCAA D1,"Robinson, Illinois",,,ltcathletics.com,FOUND,320,.com with athletics/sports; 4 school/city/mascot tokens matched
Olney Central College Blue Knights,NJCAA D1,"Olney, Illinois",,,olneycentralathletics.com,FOUND,290,.com with athletics/sports; 3 school/city/mascot tokens matched
Shawnee Community College Saints,NJCAA D1,"Ullin, Illinois",,,shawneecc.edu,FOUND,280,.edu with athletics/sports; 6 school/city/mascot tokens matched
South Suburban College Bulldogs,NJCAA D1,"South Holland, Illinois",,,tritonathletics.com,FOUND,350,.com with athletics/sports; 5 school/city/mascot tokens matched
Southeastern Illinois College Falcons,NJCAA D1,"Harrisburg, Illinois",,,sicfalcons.com,FOUND,280,.com generic; 6 school/city/mascot tokens matched
Southwestern Illinois College Blue Storm,NJCAA D1,"Belleville, Illinois",,,baseball-reference.com,FOUND,310,.com generic; 7 school/city/mascot tokens matched
Wabash Valley College Warriors,NJCAA D1,"Mount Carmel, Illinois",,,wvcwarriorathletics.com,FOUND,410,.com with athletics/sports; 7 school/city/mascot tokens matched
Vincennes University Trailblazers,NJCAA D1,"Vincennes, Indiana",,,govutrailblazers.com,FOUND,350,.com with athletics/sports; 5 school/city/mascot tokens matched
Ellsworth Community College Panthers,NJCAA D1,"Iowa Falls, Iowa",,,timescitizen.com,FOUND,410,.com with athletics/sports; 7 school/city/mascot tokens matched
Hawkeye Community College Redtails,NJCAA D1,"Waterloo, Iowa",,,redtailathletics.com,FOUND,350,.com with athletics/sports; 5 school/city/mascot tokens matched
Indian Hills Community College-Ottumwa Warriors,NJCAA D1,"Ottumwa, Iowa",,,indianhillsathletics.com,FOUND,410,.com with athletics/sports; 7 school/city/mascot tokens matched
Iowa Central Community College Tritons,NJCAA D1,"Fort Dodge, Iowa",,,ictritons.com,FOUND,440,.com with athletics/sports; 8 school/city/mascot tokens matched
Iowa Lakes Community College Lakers,NJCAA D1,"Estherville, Iowa",,,iowalakesathletics.com,FOUND,380,.com with athletics/sports; 6 school/city/mascot tokens matched
Iowa Western Community College Reivers,NJCAA D1,"Council Bluffs, Iowa",,,goreivers.com,FOUND,440,.com with athletics/sports; 8 school/city/mascot tokens matched
Marshalltown Community College Tigers,NJCAA D1,"Marshalltown, Iowa",,,mccathletics.com,FOUND,350,.com with athletics/sports; 5 school/city/mascot tokens matched
Allen Community College Red Devils,NJCAA D1,"Iola, Kansas",,,allenreddevils.com,FOUND,380,.com with athletics/sports; 6 school/city/mascot tokens matched
Barton County Community College Cougars,NJCAA D1,"Great Bend, Kansas",,,wusports.com,FOUND,440,.com with athletics/sports; 8 school/city/mascot tokens matched
Butler County Community College Grizzly Bears,NJCAA D1,"El Dorado, Kansas",,,dmaccbears.com,FOUND,410,.com with athletics/sports; 7 school/city/mascot tokens matched
Cloud County Community College Thunderbirds/Lady Thunderbirds,NJCAA D1,"Concordia, Kansas",,,goconqs.com,FOUND,280,.com generic; 6 school/city/mascot tokens matched
Coffeyville Community College Ravens,NJCAA D1,"Coffeyville, Kansas",,,redravenathletics.com,FOUND,350,.com with athletics/sports; 5 school/city/mascot tokens matched
Colby Community College Trojans,NJCAA D1,"Colby, Kansas",,,colbytrojans.com,FOUND,350,.com with athletics/sports; 5 school/city/mascot tokens matched
Cowley County Community College Tigers,NJCAA D1,"Arkansas City, Kansas",,,cowleytigers.com,FOUND,380,.com with athletics/sports; 6 school/city/mascot tokens matched
Dodge City Community College Conquistadors,NJCAA D1,"Dodge City, Kansas",,,bluedevils.kckcc.edu,FOUND,280,.edu with athletics/sports; 6 school/city/mascot tokens matched
Garden City Community College Broncbusters,NJCAA D1,"Garden City, Kansas",,,gcccks.edu,FOUND,220,.edu with athletics/sports; 4 school/city/mascot tokens matched
Hutchinson Community College Blue Dragons,NJCAA D1,"Hutchinson, Kansas",,,bluedragonsports.com,FOUND,410,.com with athletics/sports; 7 school/city/mascot tokens matched
Independence Community College Pirates,NJCAA D1,"Independence, Kansas",,,indypirates.com,FOUND,220,.com generic; 4 school/city/mascot tokens matched
Northwest Kansas Technical College Mavericks,NJCAA D1,"Goodland, Kansas",,,drurypanthers.com,FOUND,380,.com with athletics/sports; 6 school/city/mascot tokens matched
Pratt Community College Beavers,NJCAA D1,"Pratt, Kansas",,,gobeaversports.com,FOUND,350,.com with athletics/sports; 5 school/city/mascot tokens matched
