school_name,division,city_state,type,conference,athletics_domain,status,score,reason
Kaskaskia College Blue Devils,NJCAA D1,"Centralia, Illinois",,,madisoncollegeathletics.com,FOUND,350,.com with athletics/sports; 5 school/city/mascot tokens matched
Kishwaukee College Kougars,NJCAA D1,"Malta, Illinois",,,kishkougars.com,FOUND,320,.com with athletics/sports; 4 school/city/mascot tokens matched
Lake Land College Lakers,NJCAA D1,"Mattoon, Illinois",,,lakelandcollegeathletics.com,FOUND,350,.com with athletics/sports; 5 school/city/mascot tokens matched
Lincoln Trail College Statesman,NJCAA D1,"Robinson, Illinois",,,ltcathletics.com,FOUND,290,.com with athletics/sports; 3 school/city/mascot tokens matched
Olney Central College Blue Knights,NJCAA D1,"Olney, Illinois",,,olneycentralathletics.com,FOUND,350,.com with athletics/sports; 5 school/city/mascot tokens matched
Shawnee Community College Saints,NJCAA D1,"Ullin, Illinois",,,shawneecc.edu,FOUND,250,.edu with athletics/sports; 5 school/city/mascot tokens matched
South Suburban College Bulldogs,NJCAA D1,"South Holland, Illinois",,,ssc.edu,FOUND,220,.edu with athletics/sports; 4 school/city/mascot tokens matched
Southeastern Illinois College Falcons,NJCAA D1,"Harrisburg, Illinois",,,sicfalcons.com,FOUND,250,.com generic; 5 school/city/mascot tokens matched
Southwestern Illinois College Blue Storm,NJCAA D1,"Belleville, Illinois",,,swic.edu,FOUND,250,.edu with athletics/sports; 5 school/city/mascot tokens matched
Triton College Trojans,NJCAA D1,"River Grove, Illinois",,,x.com,FOUND,250,.com generic; 5 school/city/mascot tokens matched
Wabash Valley College Warriors,NJCAA D1,"Mount Carmel, Illinois",,,sportsrecruits.com,FOUND,410,.com with athletics/sports; 7 school/city/mascot tokens matched
Vincennes University Trailblazers,NJCAA D1,"Vincennes, Indiana",,,govutrailblazers.com,FOUND,290,.com with athletics/sports; 3 school/city/mascot tokens matched
Ellsworth Community College Panthers,NJCAA D1,"Iowa Falls, Iowa",,,eccathletics.com,FOUND,380,.com with athletics/sports; 6 school/city/mascot tokens matched
Hawkeye Community College Redtails,NJCAA D1,"Waterloo, Iowa",,,redtailathletics.com,FOUND,350,.com with athletics/sports; 5 school/city/mascot tokens matched
Indian Hills Community College-Ottumwa Warriors,NJCAA D1,"Ottumwa, Iowa",,,indianhillsathletics.com,FOUND,410,.com with athletics/sports; 7 school/city/mascot tokens matched
Iowa Central Community College Tritons,NJCAA D1,"Fort Dodge, Iowa",,,ictritons.com,FOUND,310,.com generic; 7 school/city/mascot tokens matched
Iowa Lakes Community College Lakers,NJCAA D1,"Estherville, Iowa",,,iowalakesathletics.com,FOUND,350,.com with athletics/sports; 5 school/city/mascot tokens matched
Iowa Western Community College Reivers,NJCAA D1,"Council Bluffs, Iowa",,,goreivers.com,FOUND,410,.com with athletics/sports; 7 school/city/mascot tokens matched
Marshalltown Community College Tigers,NJCAA D1,"Marshalltown, Iowa",,,mccathletics.com,FOUND,320,.com with athletics/sports; 4 school/city/mascot tokens matched
Allen Community College Red Devils,NJCAA D1,"Iola, Kansas",,,allenreddevils.com,FOUND,380,.com with athletics/sports; 6 school/city/mascot tokens matched
Barton County Community College Cougars,NJCAA D1,"Great Bend, Kansas",,,bartonsports.com,FOUND,380,.com with athletics/sports; 6 school/city/mascot tokens matched
Butler County Community College Grizzly Bears,NJCAA D1,"El Dorado, Kansas",,,dmaccbears.com,FOUND,380,.com with athletics/sports; 6 school/city/mascot tokens matched
Cloud County Community College Thunderbirds/Lady Thunderbirds,NJCAA D1,"Concordia, Kansas",,,cloudtbirds.com,FOUND,220,.com generic; 4 school/city/mascot tokens matched
Coffeyville Community College Ravens,NJCAA D1,"Coffeyville, Kansas",,,bluedevils.kckcc.edu,FOUND,250,.edu with athletics/sports; 5 school/city/mascot tokens matched
Colby Community College Trojans,NJCAA D1,"Colby, Kansas",,,colbytrojans.com,FOUND,320,.com with athletics/sports; 4 school/city/mascot tokens matched
Cowley County Community College Tigers,NJCAA D1,"Arkansas City, Kansas",,,cowleytigers.com,FOUND,440,.com with athletics/sports; 8 school/city/mascot tokens matched
Dodge City Community College Conquistadors,NJCAA D1,"Dodge City, Kansas",,,goconqs.com,FOUND,350,.com with athletics/sports; 5 school/city/mascot tokens matched
Garden City Community College Broncbusters,NJCAA D1,"Garden City, Kansas",,,redravenathletics.com,FOUND,380,.com with athletics/sports; 6 school/city/mascot tokens matched
Hutchinson Community College Blue Dragons,NJCAA D1,"Hutchinson, Kansas",,,bluedragonsports.com,FOUND,350,.com with athletics/sports; 5 school/city/mascot tokens matched
Independence Community College Pirates,NJCAA D1,"Independence, Kansas",,,indypirates.com,FOUND,320,.com with athletics/sports; 4 school/city/mascot tokens matched
Northwest Kansas Technical College Mavericks,NJCAA D1,"Goodland, Kansas",,,kjccc.prestosports.com,FOUND,380,.com with athletics/sports; 6 school/city/mascot tokens matched
Pratt Community College Beavers,NJCAA D1,"Pratt, Kansas",,,gobeaversports.com,FOUND,350,.com with athletics/sports; 5 school/city/mascot tokens matched
Seward County Community College Saints,NJCAA D1,"Liberal, Kansas",,,sewardsaints.com,FOUND,410,.com with athletics/sports; 7 school/city/mascot tokens matched
Simmons College of Kentucky Falcons,NJCAA D1,"Louisville, Kentucky",,,whas11.com,FOUND,320,.com with athletics/sports; 4 school/city/mascot tokens matched
Baton Rouge Community College Bears,NJCAA D1,"Baton Rouge, Louisiana",,,brccathletics.com,FOUND,350,.com with athletics/sports; 5 school/city/mascot tokens matched
Bossier Parish Community College Cavaliers,NJCAA D1,"Bossier, Louisiana",,,bpcc.prestosports.com,FOUND,350,.com with athletics/sports; 5 school/city/mascot tokens matched
Delgado Community College Dolphins,NJCAA D1,"New Orleans, Louisiana",,,delgadoathletics.com,FOUND,380,.com with athletics/sports; 6 school/city/mascot tokens matched
Southern University at Shreveport Jaguars,NJCAA D1,"Shreveport, Louisiana",,,gojagsports.com,FOUND,320,.com with athletics/sports; 4 school/city/mascot tokens matched
Louisiana State University at Eunice Bengals,NJCAA D1,"Eunice, Louisiana",,,athletics.lsue.edu,FOUND,220,.edu with athletics/sports; 4 school/city/mascot tokens matched
Allegany College of Maryland Trojans,NJCAA D1,"Cumberland, Maryland",,,acmtrojans.com,FOUND,320,.com with athletics/sports; 4 school/city/mascot tokens matched
Carroll Community College Lynx,NJCAA D1,"Westminster, Maryland",,,howardccdragons.com,FOUND,250,.com generic; 5 school/city/mascot tokens matched
Chesapeake College Skipjacks,NJCAA D1,"Wye Mills, Maryland",,,letsgoskipjacks.com,FOUND,350,.com with athletics/sports; 5 school/city/mascot tokens matched
Garrett College Lakers,NJCAA D1,"McHenry, Maryland",,,garrettlakers.com,FOUND,320,.com with athletics/sports; 4 school/city/mascot tokens matched
Frederick Community College Cougars,NJCAA D1,"Frederick, Maryland",,,fccathletics.com,FOUND,350,.com with athletics/sports; 5 school/city/mascot tokens matched
Hagerstown Community College Hawks,NJCAA D1,"Hagerstown, Maryland",,,athletics.hagerstowncc.edu,FOUND,220,.edu with athletics/sports; 4 school/city/mascot tokens matched
Harford Community College Fighting Owls,NJCAA D1,"Bel Air, Maryland",,,mcctribunes.com,FOUND,410,.com with athletics/sports; 7 school/city/mascot tokens matched
Montgomery College Raptors,NJCAA D1,"Germantown, Maryland",,,mcraptors.com,FOUND,220,.com generic; 4 school/city/mascot tokens matched
Coahoma Community College Tigers,NJCAA D1,"Clarksdale, Mississippi",,,coahomasports.com,FOUND,320,.com with athletics/sports; 4 school/city/mascot tokens matched
Copiah-Lincoln Community College Wolves,NJCAA D1,"Wesson, Mississippi",,,holmesathletics.com,FOUND,380,.com with athletics/sports; 6 school/city/mascot tokens matched
East Central Community College Warriors,NJCAA D1,"Decatur, Mississippi",,,ecccathletics.com,FOUND,410,.com with athletics/sports; 7 school/city/mascot tokens matched
East Mississippi Community College Lions,NJCAA D1,"Scooba, Mississippi",,,emccathletics.com,FOUND,350,.com with athletics/sports; 5 school/city/mascot tokens matched
Hinds Community College Eagles,NJCAA D1,"Raymond, Mississippi",,,sports.hindscc.edu,FOUND,190,.edu with athletics/sports; 3 school/city/mascot tokens matched; Accepted with low score due to strong keyword
Holmes Community College Bulldogs,NJCAA D1,"Goodman, Mississippi",,,news.holmescc.edu,FOUND,220,.edu with athletics/sports; 4 school/city/mascot tokens matched
Itawamba Community College Indians,NJCAA D1,"Fulton, Mississippi",,,letsgoicc.com,FOUND,380,.com with athletics/sports; 6 school/city/mascot tokens matched
Jones County Junior College Bobcats,NJCAA D1,"Ellisville, Mississippi",,,southernmiss.com,FOUND,380,.com with athletics/sports; 6 school/city/mascot tokens matched
Meridian Community College Eagles,NJCAA D1,"Meridian, Mississippi",,,mcceagles.com,FOUND,320,.com with athletics/sports; 4 school/city/mascot tokens matched
Mississippi Delta Community College Trojans,NJCAA D1,"Moorhead, Mississippi",,,mdcctrojans.com,FOUND,380,.com with athletics/sports; 6 school/city/mascot tokens matched
Northeast Mississippi Community College Tigers,NJCAA D1,"Booneville, Mississippi",,,nemccathletics.com,FOUND,350,.com with athletics/sports; 5 school/city/mascot tokens matched
Northwest Mississippi Community College Rangers,NJCAA D1,"Senatobia, Mississippi",,,nwccrangers.com,FOUND,350,.com with athletics/sports; 5 school/city/mascot tokens matched
Pearl River Community College Wildcats,NJCAA D1,"Poplarville, Mississippi",,,prccathletics.com,FOUND,380,.com with athletics/sports; 6 school/city/mascot tokens matched
Crowder College Roughriders,NJCAA D1,"Neosho, Missouri",,,crowderathletics.com,FOUND,320,.com with athletics/sports; 4 school/city/mascot tokens matched
Mineral Area College Cardinals,NJCAA D1,"Park Hills, Missouri",,,sfccmoroadrunners.com,FOUND,410,.com with athletics/sports; 7 school/city/mascot tokens matched
Missouri State University-West Plains Grizzlies,NJCAA D1,"West Plains, Missouri",,,msuwpgrizzlies.com,FOUND,380,.com with athletics/sports; 6 school/city/mascot tokens matched
Moberly Area Community College Greyhounds,NJCAA D1,"Moberly, Missouri",,,moberlygreyhounds.com,FOUND,380,.com with athletics/sports; 6 school/city/mascot tokens matched
State Fair Community College Roadrunners,NJCAA D1,"Sedalia, Missouri",,,sfccbooks.com,FOUND,310,.com generic; 7 school/city/mascot tokens matched
Three Rivers Community College Raiders,NJCAA D1,"Poplar Bluff, Missouri",,,raidersathletics.com,FOUND,410,.com with athletics/sports; 7 school/city/mascot tokens matched
St. Charles Community College Cougars,NJCAA D1,"Saint Charles, Missouri",,,sccathletics.com,FOUND,320,.com with athletics/sports; 4 school/city/mascot tokens matched
Dawson Community College Buccaneers,NJCAA D1,"Glendive, Montana",,,dawsonbucs.com,FOUND,320,.com with athletics/sports; 4 school/city/mascot tokens matched
Little Big Horn College Rams,NJCAA D1,"Crow Agency, Montana",,,lbhc-hiset.org,FOUND,260,.org/.net; 7 school/city/mascot tokens matched
Miles Community College Pioneers,NJCAA D1,"Miles City, Montana",,,mccpioneers.com,FOUND,350,.com with athletics/sports; 5 school/city/mascot tokens matched
McCook Community College Indians,NJCAA D1,"McCook, Nebraska",,,mccindians.com,FOUND,320,.com with athletics/sports; 4 school/city/mascot tokens matched
North Platte Community College Knights,NJCAA D1,"North Platte, Nebraska",,,wnccathletics.com,FOUND,350,.com with athletics/sports; 5 school/city/mascot tokens matched
Northeast Community College Hawks,NJCAA D1,"Norfolk, Nebraska",,,northeasthawks.com,FOUND,320,.com with athletics/sports; 4 school/city/mascot tokens matched
College of Southern Nevada Coyotes,NJCAA D1,"Henderson, Nevada",,,csncoyotes.com,FOUND,350,.com with athletics/sports; 5 school/city/mascot tokens matched
Western Nevada College Wildcats,NJCAA D1,"Carson City, Nevada",,,baseball.fandom.com,FOUND,280,.com generic; 6 school/city/mascot tokens matched
New Mexico Junior College Thunderbirds,NJCAA D1,"Hobbs, New Mexico",,,nmjcthunderbirds.com,FOUND,380,.com with athletics/sports; 6 school/city/mascot tokens matched
New Mexico Military Institute Broncos,NJCAA D1,"Roswell, New Mexico",,,nmmiathletics.com,FOUND,380,.com with athletics/sports; 6 school/city/mascot tokens matched
Mesalands Community College Stampede,NJCAA D1,"Tucumcari, New Mexico",,,easternnewmexiconews.com,FOUND,380,.com with athletics/sports; 6 school/city/mascot tokens matched
Monroe University Mustangs,NJCAA D1,"New Rochelle, New York",,,cunyathletics.com,FOUND,380,.com with athletics/sports; 6 school/city/mascot tokens matched
Brunswick Community College Dolphins,NJCAA D1,"Bolivia, North Carolina",,,gobccsports.com,FOUND,320,.com with athletics/sports; 4 school/city/mascot tokens matched
Cape Fear Community College Sea Devils,NJCAA D1,"Wilmington, North Carolina",,,goseadevils.com,FOUND,440,.com with athletics/sports; 8 school/city/mascot tokens matched
Guilford Technical Community College Titans,NJCAA D1,"Jamestown, North Carolina",,,rbcathletics.com,FOUND,410,.com with athletics/sports; 7 school/city/mascot tokens matched
Lenoir Community College Lancers,NJCAA D1,"Kinston, North Carolina",,,lenoircc.edu,FOUND,190,.edu with athletics/sports; 3 school/city/mascot tokens matched; Accepted with low score due to strong keyword
Louisburg College Hurricanes,NJCAA D1,"Louisburg, North Carolina",,,samfordsports.com,FOUND,350,.com with athletics/sports; 5 school/city/mascot tokens matched
Pitt Community College Bulldogs,NJCAA D1,"Winterville, North Carolina",,,pccbulldogathletics.com,FOUND,290,.com with athletics/sports; 3 school/city/mascot tokens matched
Roanoke-Chowan Community College Waves,NJCAA D1,"Ahoskie, North Carolina",,,basketball.fandom.com,FOUND,340,.com generic; 8 school/city/mascot tokens matched
Rockingham Community College Eagles,NJCAA D1,"Wentworth, North Carolina",,,cubruins.com,FOUND,380,.com with athletics/sports; 6 school/city/mascot tokens matched
Surry Community College Knights,NJCAA D1,"Dobson, North Carolina",,,knights.surry.edu,FOUND,220,.edu with athletics/sports; 4 school/city/mascot tokens matched
Wake Technical Community College Eagles,NJCAA D1,"Raleigh, North Carolina",,,waketechsports.com,FOUND,380,.com with athletics/sports; 6 school/city/mascot tokens matched
Wilkes Community College Cougars,NJCAA D1,"Wilkesboro, North Carolina",,,journalpatriot.com,FOUND,320,.com with athletics/sports; 4 school/city/mascot tokens matched
Gaston College Rhinos,NJCAA D1,"Dallas, North Carolina",,,gcrhinos.com,FOUND,320,.com with athletics/sports; 4 school/city/mascot tokens matched
Lake Region State College Royals,NJCAA D1,"Devils Lake, North Dakota",,,lrscroyals.com,FOUND,380,.com with athletics/sports; 6 school/city/mascot tokens matched
North Dakota State College of Science Wildcats,NJCAA D1,"Wahpeton, North Dakota",,,ndscswildcats.com,FOUND,410,.com with athletics/sports; 7 school/city/mascot tokens matched
Williston State College Tetons,NJCAA D1,"Williston, North Dakota",,,wsctetons.com,FOUND,320,.com with athletics/sports; 4 school/city/mascot tokens matched
Hocking College Eagles,NJCAA D1,"Nelsonville, Ohio",,,hvccathletics.com,FOUND,320,.com with athletics/sports; 4 school/city/mascot tokens matched
Carl Albert State College Vikings,NJCAA D1,"Poteau, Oklahoma",,,cascathletics.com,FOUND,320,.com with athletics/sports; 4 school/city/mascot tokens matched
Connors State College Cowboys,NJCAA D1,"Warner, Oklahoma",,,connorsathletics.com,FOUND,350,.com with athletics/sports; 5 school/city/mascot tokens matched
Eastern Oklahoma State College Mountaineers,NJCAA D1,"Wilburton, Oklahoma",,,bucksathletics.com,FOUND,380,.com with athletics/sports; 6 school/city/mascot tokens matched
Murray State College Aggies,NJCAA D1,"Tishomingo, Oklahoma",,,mscaggies.com,FOUND,320,.com with athletics/sports; 4 school/city/mascot tokens matched
Northeastern Oklahoma A&M College Golden Norseman,NJCAA D1,"Miami, Oklahoma",,,neoathletics.com,FOUND,260,.com with athletics/sports; 2 school/city/mascot tokens matched
Northern Oklahoma College Enid Jets,NJCAA D1,"Enid, Oklahoma",,,nocjets.com,FOUND,350,.com with athletics/sports; 5 school/city/mascot tokens matched
Northern Oklahoma College-Tonkawa Mavericks,NJCAA D1,"Tonkawa, Oklahoma",,,nocmavs.com,FOUND,320,.com with athletics/sports; 4 school/city/mascot tokens matched
Redlands Community College Cougars,NJCAA D1,"El Reno, Oklahoma",,,rsuhillcats.com,FOUND,280,.com generic; 6 school/city/mascot tokens matched
Seminole State College Trojans,NJCAA D1,"Seminole, Oklahoma",,,sscathletics.com,FOUND,320,.com with athletics/sports; 4 school/city/mascot tokens matched
Western Oklahoma State College Pioneers,NJCAA D1,"Altus, Oklahoma",,,wosc.edu,FOUND,250,.edu with athletics/sports; 5 school/city/mascot tokens matched
Lackawanna College Falcons,NJCAA D1,"Scranton, Pennsylvania",,,virginiasports.com,FOUND,320,.com with athletics/sports; 4 school/city/mascot tokens matched
Aiken Technical College Knights,NJCAA D1,"Aiken, South Carolina",,,pacersports.com,FOUND,350,.com with athletics/sports; 5 school/city/mascot tokens matched
Clinton Junior College Golden Bears,NJCAA D1,"Rock Hill, South Carolina",,,gobarrybucs.com,FOUND,380,.com with athletics/sports; 6 school/city/mascot tokens matched
Denmark Technical College Panthers,NJCAA D1,"Denmark, South Carolina",,,denmarktech.edu,FOUND,250,.edu with athletics/sports; 5 school/city/mascot tokens matched
University of South Carolina Lancaster Lancers,NJCAA D1,"Lancaster, South Carolina",,,usclathletics.com,FOUND,320,.com with athletics/sports; 4 school/city/mascot tokens matched
University of South Carolina Salkehatchie Indians,NJCAA D1,"Allendale, South Carolina",,,uscsalkathletics.com,FOUND,380,.com with athletics/sports; 6 school/city/mascot tokens matched
University of South Carolina Sumter Fire Ants,NJCAA D1,"Sumter, South Carolina",,,uscfireants.com,FOUND,380,.com with athletics/sports; 6 school/city/mascot tokens matched
Chattanooga State Technical Community College Tigers,NJCAA D1,"Chattanooga, Tennessee",,,cscougars.com,FOUND,350,.com with athletics/sports; 5 school/city/mascot tokens matched
